qubits,state_vector_bytes,state_vector_GB,unitary_matrix_bytes,unitary_matrix_GB,density_matrix_bytes,density_matrix_GB,amplitudes,log2_amplitudes,state_vector_MB,unitary_matrix_MB
1,32,2.9802322387695312e-08,64,5.960464477539063e-08,64,5.960464477539063e-08,2,1,3.0517578125e-05,6.103515625e-05
2,64,5.960464477539063e-08,256,2.384185791015625e-07,256,2.384185791015625e-07,4,2,6.103515625e-05,0.000244140625
3,128,1.1920928955078125e-07,1024,9.5367431640625e-07,1024,9.5367431640625e-07,8,3,0.0001220703125,0.0009765625
4,256,2.384185791015625e-07,4096,3.814697265625e-06,4096,3.814697265625e-06,16,4,0.000244140625,0.00390625
5,512,4.76837158203125e-07,16384,1.52587890625e-05,16384,1.52587890625e-05,32,5,0.00048828125,0.015625
6,1024,9.5367431640625e-07,65536,6.103515625e-05,65536,6.103515625e-05,64,6,0.0009765625,0.0625
7,2048,1.9073486328125e-06,262144,0.000244140625,262144,0.000244140625,128,7,0.001953125,0.25
8,4096,3.814697265625e-06,1048576,0.0009765625,1048576,0.0009765625,256,8,0.00390625,1.0
9,8192,7.62939453125e-06,4194304,0.00390625,4194304,0.00390625,512,9,0.0078125,4.0
10,16384,1.52587890625e-05,16777216,0.015625,16777216,0.015625,1024,10,0.015625,16.0
11,32768,3.0517578125e-05,67108864,0.0625,67108864,0.0625,2048,11,0.03125,64.0
12,65536,6.103515625e-05,268435456,0.25,268435456,0.25,4096,12,0.0625,256.0
13,131072,0.0001220703125,1073741824,1.0,1073741824,1.0,8192,13,0.125,1024.0
14,262144,0.000244140625,4294967296,4.0,4294967296,4.0,16384,14,0.25,4096.0
15,524288,0.00048828125,17179869184,16.0,17179869184,16.0,32768,15,0.5,16384.0
16,1048576,0.0009765625,68719476736,64.0,68719476736,64.0,65536,16,1.0,65536.0
17,2097152,0.001953125,274877906944,256.0,274877906944,256.0,131072,17,2.0,262144.0
18,4194304,0.00390625,1099511627776,1024.0,1099511627776,1024.0,262144,18,4.0,1048576.0
19,8388608,0.0078125,4398046511104,4096.0,4398046511104,4096.0,524288,19,8.0,4194304.0
20,16777216,0.015625,17592186044416,16384.0,17592186044416,16384.0,1048576,20,16.0,16777216.0
21,33554432,0.03125,70368744177664,65536.0,70368744177664,65536.0,2097152,21,32.0,67108864.0
22,67108864,0.0625,281474976710656,262144.0,281474976710656,262144.0,4194304,22,64.0,268435456.0
23,134217728,0.125,1125899906842624,1048576.0,1125899906842624,1048576.0,8388608,23,128.0,1073741824.0
24,268435456,0.25,4503599627370496,4194304.0,4503599627370496,4194304.0,16777216,24,256.0,4294967296.0
25,536870912,0.5,18014398509481984,16777216.0,18014398509481984,16777216.0,33554432,25,512.0,17179869184.0
26,1073741824,1.0,72057594037927936,67108864.0,72057594037927936,67108864.0,67108864,26,1024.0,68719476736.0
27,2147483648,2.0,288230376151711744,268435456.0,288230376151711744,268435456.0,134217728,27,2048.0,274877906944.0
28,4294967296,4.0,1152921504606846976,1073741824.0,1152921504606846976,1073741824.0,268435456,28,4096.0,1099511627776.0
29,8589934592,8.0,4611686018427387904,4294967296.0,4611686018427387904,4294967296.0,536870912,29,8192.0,4398046511104.0
30,17179869184,16.0,18446744073709551616,17179869184.0,18446744073709551616,17179869184.0,1073741824,30,16384.0,17592186044416.0
31,34359738368,32.0,73786976294838206464,68719476736.0,73786976294838206464,68719476736.0,2147483648,31,32768.0,70368744177664.0
32,68719476736,64.0,295147905179352825856,274877906944.0,295147905179352825856,274877906944.0,4294967296,32,65536.0,281474976710656.0
33,137438953472,128.0,1180591620717411303424,1099511627776.0,1180591620717411303424,1099511627776.0,8589934592,33,131072.0,1125899906842624.0
34,274877906944,256.0,4722366482869645213696,4398046511104.0,4722366482869645213696,4398046511104.0,17179869184,34,262144.0,4503599627370496.0
35,549755813888,512.0,18889465931478580854784,17592186044416.0,18889465931478580854784,17592186044416.0,34359738368,35,524288.0,1.8014398509481984e+16
36,1099511627776,1024.0,75557863725914323419136,70368744177664.0,75557863725914323419136,70368744177664.0,68719476736,36,1048576.0,7.205759403792794e+16
37,2199023255552,2048.0,302231454903657293676544,281474976710656.0,302231454903657293676544,281474976710656.0,137438953472,37,2097152.0,2.8823037615171174e+17
38,4398046511104,4096.0,1208925819614629174706176,1125899906842624.0,1208925819614629174706176,1125899906842624.0,274877906944,38,4194304.0,1.152921504606847e+18
39,8796093022208,8192.0,4835703278458516698824704,4503599627370496.0,4835703278458516698824704,4503599627370496.0,549755813888,39,8388608.0,4.611686018427388e+18
40,17592186044416,16384.0,19342813113834066795298816,1.8014398509481984e+16,19342813113834066795298816,1.8014398509481984e+16,1099511627776,40,16777216.0,1.8446744073709552e+19
41,35184372088832,32768.0,77371252455336267181195264,7.205759403792794e+16,77371252455336267181195264,7.205759403792794e+16,2199023255552,41,33554432.0,7.378697629483821e+19
42,70368744177664,65536.0,309485009821345068724781056,2.8823037615171174e+17,309485009821345068724781056,2.8823037615171174e+17,4398046511104,42,67108864.0,2.9514790517935283e+20
43,140737488355328,131072.0,1237940039285380274899124224,1.152921504606847e+18,1237940039285380274899124224,1.152921504606847e+18,8796093022208,43,134217728.0,1.1805916207174113e+21
44,281474976710656,262144.0,4951760157141521099596496896,4.611686018427388e+18,4951760157141521099596496896,4.611686018427388e+18,17592186044416,44,268435456.0,4.722366482869645e+21
45,562949953421312,524288.0,19807040628566084398385987584,1.8446744073709552e+19,19807040628566084398385987584,1.8446744073709552e+19,35184372088832,45,536870912.0,1.888946593147858e+22
46,1125899906842624,1048576.0,79228162514264337593543950336,7.378697629483821e+19,79228162514264337593543950336,7.378697629483821e+19,70368744177664,46,1073741824.0,7.555786372591432e+22
47,2251799813685248,2097152.0,316912650057057350374175801344,2.9514790517935283e+20,316912650057057350374175801344,2.9514790517935283e+20,140737488355328,47,2147483648.0,3.022314549036573e+23
48,4503599627370496,4194304.0,1267650600228229401496703205376,1.1805916207174113e+21,1267650600228229401496703205376,1.1805916207174113e+21,281474976710656,48,4294967296.0,1.2089258196146292e+24
49,9007199254740992,8388608.0,5070602400912917605986812821504,4.722366482869645e+21,5070602400912917605986812821504,4.722366482869645e+21,562949953421312,49,8589934592.0,4.835703278458517e+24
50,18014398509481984,16777216.0,20282409603651670423947251286016,1.888946593147858e+22,20282409603651670423947251286016,1.888946593147858e+22,1125899906842624,50,17179869184.0,1.9342813113834067e+25
